product_id,export_rca,location_code
1191,0,AGO
1192,0,AGO
1193,0.02104464,AGO
1194,0,AGO
1195,0,AGO
1196,0.017932465,AGO
1197,0.005678817,AGO
1198,0,AGO
1199,0,AGO
1200,0,AGO
1201,0.014793282,AGO
1202,0.0007799503,AGO
1203,0,AGO
1204,0.0013804727,AGO
1205,0,AGO
1206,0,AGO
1207,0,AGO
1208,0.00030534263,AGO
1209,2.4156376e-05,AGO
1210,0.00074921764,AGO
1211,7.290751e-05,AGO
1212,6.128856e-05,AGO
1213,0,AGO
1214,0,AGO
1215,0.0013104627,AGO
1216,0.0005269643,AGO
1217,0,AGO
1218,0.00096972944,AGO
1219,0.00021072957,AGO
1220,0,AGO
1221,0.007838492,AGO
1222,0,AGO
1223,0,AGO
1224,0.00010973279,AGO
1225,0.00083214714,AGO
1226,0,AGO
1227,0,AGO
1228,0,AGO
1229,0,AGO
1230,0,AGO
1231,0,AGO
1232,0,AGO
1233,0,AGO
1234,0,AGO
1235,0,AGO
1236,0,AGO
1237,0,AGO
1238,0,AGO
1239,0,AGO
1240,0,AGO
1241,0,AGO
1242,0,AGO
1243,0,AGO
1244,0,AGO
1245,0,AGO
1246,0.0014495191,AGO
1247,0,AGO
1248,0,AGO
1249,0,AGO
1250,0,AGO
1251,0,AGO
1252,0,AGO
1253,6.493203e-05,AGO
1254,1.4599832e-05,AGO
1255,0,AGO
1256,3.302222e-05,AGO
1257,0,AGO
1258,0,AGO
1259,0,AGO
1260,0,AGO
1261,0,AGO
1262,0,AGO
1263,0,AGO
1264,0,AGO
1265,0,AGO
1266,0,AGO
1267,0,AGO
1268,0,AGO
1269,0,AGO
1270,0,AGO
1271,0,AGO
1272,0,AGO
1273,0,AGO
1274,0,AGO
1275,0,AGO
1276,0,AGO
1277,0,AGO
1278,0,AGO
1279,0,AGO
1280,0,AGO
1281,0,AGO
1282,0,AGO
1283,0,AGO
1284,0,AGO
1285,0,AGO
1286,0,AGO
1287,0,AGO
1288,0,AGO
1289,0,AGO
1290,0,AGO
1291,0,AGO
1292,0,AGO
1293,0,AGO
1294,0,AGO
1295,0,AGO
1296,0,AGO
1297,0,AGO
1298,0,AGO
1299,0.007361601,AGO
1300,0,AGO
1301,0,AGO
1302,4.1114767e-05,AGO
1303,0.0005200911,AGO
1304,3.4750803e-05,AGO
1305,0,AGO
1306,0,AGO
1307,0,AGO
1308,0,AGO
1309,0,AGO
1310,0,AGO
1311,0,AGO
1312,0.00023126055,AGO
1313,0,AGO
1314,0.00013624532,AGO
1315,0,AGO
1316,0,AGO
1317,0,AGO
1318,0,AGO
1319,0,AGO
1320,7.9317106e-05,AGO
